Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C262,305.000000,-125.000000,0.000000,Top
C263,307.500000,-125.000000,0.000000,Top
C264,260.000000,-122.500000,0.000000,Top
C265,262.500000,-122.500000,0.000000,Top
C266,265.000000,-122.500000,0.000000,Top
C267,267.500000,-122.500000,0.000000,Top
C268,270.000000,-122.500000,0.000000,Top
C269,272.500000,-122.500000,0.000000,Top
C270,275.000000,-122.500000,0.000000,Top
C271,277.500000,-122.500000,0.000000,Top
C272,280.000000,-122.500000,0.000000,Top
C273,282.500000,-122.500000,0.000000,Top
C274,285.000000,-122.500000,0.000000,Top
C275,287.500000,-122.500000,0.000000,Top
C276,290.000000,-122.500000,0.000000,Top
C277,292.500000,-122.500000,0.000000,Top
C278,295.000000,-122.500000,0.000000,Top
C279,297.500000,-122.500000,0.000000,Top
C280,300.000000,-122.500000,0.000000,Top
C281,302.500000,-122.500000,0.000000,Top
C282,305.000000,-122.500000,0.000000,Top
C283,307.500000,-122.500000,0.000000,Top
C284,260.000000,-120.000000,0.000000,Top
C285,262.500000,-120.000000,0.000000,Top
C286,265.000000,-120.000000,0.000000,Top
C287,267.500000,-120.000000,0.000000,Top
C288,270.000000,-120.000000,0.000000,Top
C289,272.500000,-120.000000,0.000000,Top
C290,275.000000,-120.000000,0.000000,Top
C291,277.500000,-120.000000,0.000000,Top
C292,280.000000,-120.000000,0.000000,Top
C293,282.500000,-120.000000,0.000000,Top
C294,285.000000,-120.000000,0.000000,Top
C295,287.500000,-120.000000,0.000000,Top
C296,290.000000,-120.000000,0.000000,Top
C297,292.500000,-120.000000,0.000000,Top
C298,295.000000,-120.000000,0.000000,Top
C299,297.500000,-120.000000,0.000000,Top
C300,300.000000,-120.000000,0.000000,Top
C301,302.500000,-120.000000,0.000000,Top
C302,305.000000,-120.000000,0.000000,Top
C303,307.500000,-120.000000,0.000000,Top
C304,260.000000,-117.500000,0.000000,Top
C305,262.500000,-117.500000,0.000000,Top
C306,265.000000,-117.500000,0.000000,Top
C307,267.500000,-117.500000,0.000000,Top
C308,270.000000,-117.500000,0.000000,Top
C309,272.500000,-117.500000,0.000000,Top
C310,275.000000,-117.500000,0.000000,Top
C311,277.500000,-117.500000,0.000000,Top
C312,280.000000,-117.500000,0.000000,Top
C313,282.500000,-117.500000,0.000000,Top
C314,285.000000,-117.500000,0.000000,Top
C315,287.500000,-117.500000,0.000000,Top
C316,290.000000,-117.500000,0.000000,Top
C317,292.500000,-117.500000,0.000000,Top
C318,295.000000,-117.500000,0.000000,Top
C319,297.500000,-117.500000,0.000000,Top
C320,300.000000,-117.500000,0.000000,Top
C321,302.500000,-117.500000,0.000000,Top
